"age"	"group"	"cause"	"prop"
4	"S"	"Genitourinary"	0
4	"S"	"perinatal period"	0
4	"S"	"Congenital malformations"	0.0643
4	"S"	"morbidity"	0.3775
4	"B"	"Infection"	0.0282
4	"B"	"Neoplasms"	0.1172
4	"B"	"Diseases of the blood and blood-forming organs"	0.0209
4	"B"	"Endocrine"	0.0178
4	"B"	"Mental and behavioural disorders"	0.0012
4	"B"	"Nervous Disorders"	0.0571
4	"B"	"circulatory"	0.0429
4	"B"	"respiratory"	0.0748
4	"B"	"Digestive"	0.0153
4	"B"	"Musculoskeletal Disorders"	0.0018
4	"B"	"Genitourinary"	0.0037
4	"B"	"perinatal period"	0.0067
4	"B"	"Congenital malformations"	0.0724
4	"B"	"morbidity"	0.5055
4	"W"	"Infection"	0.0311
4	"W"	"Neoplasms"	0.1717
4	"W"	"Diseases of the blood and blood-forming organs"	0.0126
4	"W"	"Endocrine"	0.0346
4	"W"	"Mental and behavioural disorders"	0.0029
4	"W"	"Nervous Disorders"	0.0647
4	"W"	"circulatory"	0.043
4	"W"	"respiratory"	0.0443
4	"W"	"Digestive"	0.0189
4	"W"	"Musculoskeletal Disorders"	0.0023
4	"W"	"Genitourinary"	0.0042
4	"W"	"perinatal period"	0.0061
4	"W"	"Congenital malformations"	0.0875
4	"W"	"morbidity"	0.4511
5	"A"	"Infection"	0.0268
5	"A"	"Neoplasms"	0.0982
5	"A"	"Diseases of the blood and blood-forming organs"	0
5	"A"	"Endocrine"	0.0268
5	"A"	"Mental and behavioural disorders"	0.0089
5	"A"	"Nervous Disorders"	0.0893
5	"A"	"circulatory"	0.0536
5	"A"	"respiratory"	0.0446
5	"A"	"Digestive"	0.0089
5	"A"	"Musculoskeletal Disorders"	0
5	"A"	"Genitourinary"	0
5	"A"	"perinatal period"	0
5	"A"	"Congenital malformations"	0.0714
5	"A"	"morbidity"	0.5625
5	"S"	"Infection"	0.0388
5	"S"	"Neoplasms"	0.1983
5	"S"	"Diseases of the blood and blood-forming organs"	0.0086
5	"S"	"Endocrine"	0.0345
5	"S"	"Mental and behavioural disorders"	0
5	"S"	"Nervous Disorders"	0.0819
5	"S"	"circulatory"	0.0603
5	"S"	"respiratory"	0.0776
5	"S"	"Digestive"	0.0302
5	"S"	"Musculoskeletal Disorders"	0.0086
5	"S"	"Genitourinary"	0.0043
5	"S"	"perinatal period"	0.0043
5	"S"	"Congenital malformations"	0.0603
5	"S"	"morbidity"	0.3707
5	"B"	"Infection"	0.0292
5	"B"	"Neoplasms"	0.132
5	"B"	"Diseases of the blood and blood-forming organs"	0.0204
5	"B"	"Endocrine"	0.0204
5	"B"	"Mental and behavioural disorders"	0.0029
5	"B"	"Nervous Disorders"	0.0642
5	"B"	"circulatory"	0.0518
5	"B"	"respiratory"	0.0751
5	"B"	"Digestive"	0.0219
5	"B"	"Musculoskeletal Disorders"	0.0029
5	"B"	"Genitourinary"	0.0058
5	"B"	"perinatal period"	0.0058
5	"B"	"Congenital malformations"	0.0817
5	"B"	"morbidity"	0.4566
5	"W"	"Infection"	0.029
5	"W"	"Neoplasms"	0.207
5	"W"	"Diseases of the blood and blood-forming organs"	0.0126
5	"W"	"Endocrine"	0.0399
5	"W"	"Mental and behavioural disorders"	0.0025
5	"W"	"Nervous Disorders"	0.0714
5	"W"	"circulatory"	0.0431
5	"W"	"respiratory"	0.0503
5	"W"	"Digestive"	0.0154
5	"W"	"Musculoskeletal Disorders"	0.0032
5	"W"	"Genitourinary"	0.0052
5	"W"	"perinatal period"	0.0052
5	"W"	"Congenital malformations"	0.0905
5	"W"	"morbidity"	0.3997
6	"A"	"Infection"	0.0118
6	"A"	"Neoplasms"	0.1294
6	"A"	"Diseases of the blood and blood-forming organs"	0.0353
6	"A"	"Endocrine"	0
6	"A"	"Mental and behavioural disorders"	0
6	"A"	"Nervous Disorders"	0.0706
6	"A"	"circulatory"	0.0118
6	"A"	"respiratory"	0.0941
6	"A"	"Digestive"	0.0118
6	"A"	"Musculoskeletal Disorders"	0
6	"A"	"Genitourinary"	0.0118
6	"A"	"perinatal period"	0
6	"A"	"Congenital malformations"	0.0824
6	"A"	"morbidity"	0.5294
6	"S"	"Infection"	0.0543
6	"S"	"Neoplasms"	0.1719
6	"S"	"Diseases of the blood and blood-forming organs"	0.0317
6	"S"	"Endocrine"	0.0407
6	"S"	"Mental and behavioural disorders"	0.0045
6	"S"	"Nervous Disorders"	0.0588
6	"S"	"circulatory"	0.0905
6	"S"	"respiratory"	0.0724
6	"S"	"Digestive"	0.0181
6	"S"	"Musculoskeletal Disorders"	0
6	"S"	"Genitourinary"	0
6	"S"	"perinatal period"	0
6	"S"	"Congenital malformations"	0.0995
6	"S"	"morbidity"	0.3303
6	"B"	"Infection"	0.0311
6	"B"	"Neoplasms"	0.1263
6	"B"	"Diseases of the blood and blood-forming organs"	0.0138
6	"B"	"Endocrine"	0.0268
6	"B"	"Mental and behavioural disorders"	0.0043
6	"B"	"Nervous Disorders"	0.0995
6	"B"	"circulatory"	0.0519
6	"B"	"respiratory"	0.0675
6	"B"	"Digestive"	0.0121
6	"B"	"Musculoskeletal Disorders"	0.0017
6	"B"	"Genitourinary"	0.0052
6	"B"	"perinatal period"	0.0061
6	"B"	"Congenital malformations"	0.0588
6	"B"	"morbidity"	0.4689
6	"W"	"Infection"	0.028
6	"W"	"Neoplasms"	0.2153
6	"W"	"Diseases of the blood and blood-forming organs"	0.0106
6	"W"	"Endocrine"	0.0405
6	"W"	"Mental and behavioural disorders"	0.0022
6	"W"	"Nervous Disorders"	0.0834
6	"W"	"circulatory"	0.0516
6	"W"	"respiratory"	0.0554
6	"W"	"Digestive"	0.0149
6	"W"	"Musculoskeletal Disorders"	0.0024
6	"W"	"Genitourinary"	0.0046
6	"W"	"perinatal period"	0.0063
6	"W"	"Congenital malformations"	0.072
6	"W"	"morbidity"	0.3958
7	"A"	"Infection"	0.0649
7	"A"	"Neoplasms"	0.0649
7	"A"	"Diseases of the blood and blood-forming organs"	0
7	"A"	"Endocrine"	0.039
7	"A"	"Mental and behavioural disorders"	0.013
7	"A"	"Nervous Disorders"	0.0519
7	"A"	"circulatory"	0.0519
7	"A"	"respiratory"	0.0649
7	"A"	"Digestive"	0.026
7	"A"	"Musculoskeletal Disorders"	0.013
7	"A"	"Genitourinary"	0.013
7	"A"	"perinatal period"	0.013
7	"A"	"Congenital malformations"	0.0649
7	"A"	"morbidity"	0.4935
7	"S"	"Infection"	0.026
7	"S"	"Neoplasms"	0.25
7	"S"	"Diseases of the blood and blood-forming organs"	0.026
7	"S"	"Endocrine"	0.0521
7	"S"	"Mental and behavioural disorders"	0.0156
7	"S"	"Nervous Disorders"	0.0521
7	"S"	"circulatory"	0.0573
7	"S"	"respiratory"	0.0833
7	"S"	"Digestive"	0.0208
7	"S"	"Musculoskeletal Disorders"	0.0052
7	"S"	"Genitourinary"	0
7	"S"	"perinatal period"	0.0208
7	"S"	"Congenital malformations"	0.0781
7	"S"	"morbidity"	0.2969
7	"B"	"Infection"	0.0209
7	"B"	"Neoplasms"	0.1374
7	"B"	"Diseases of the blood and blood-forming organs"	0.0218
7	"B"	"Endocrine"	0.0191
7	"B"	"Mental and behavioural disorders"	0.0018
7	"B"	"Nervous Disorders"	0.1001
7	"B"	"circulatory"	0.0637
7	"B"	"respiratory"	0.0955
7	"B"	"Digestive"	0.02
7	"B"	"Musculoskeletal Disorders"	0.0027
7	"B"	"Genitourinary"	0.0055
7	"B"	"perinatal period"	0.0055
7	"B"	"Congenital malformations"	0.0646
7	"B"	"morbidity"	0.4222
7	"W"	"Infection"	0.032
7	"W"	"Neoplasms"	0.2321
7	"W"	"Diseases of the blood and blood-forming organs"	0.0122
7	"W"	"Endocrine"	0.0398
7	"W"	"Mental and behavioural disorders"	0.0038
7	"W"	"Nervous Disorders"	0.0755
7	"W"	"circulatory"	0.0488
7	"W"	"respiratory"	0.0523
7	"W"	"Digestive"	0.0166
7	"W"	"Musculoskeletal Disorders"	0.0041
7	"W"	"Genitourinary"	0.0026
7	"W"	"perinatal period"	0.0078
7	"W"	"Congenital malformations"	0.0735
7	"W"	"morbidity"	0.3844
8	"A"	"Infection"	0.0241
8	"A"	"Neoplasms"	0.0964
8	"A"	"Diseases of the blood and blood-forming organs"	0.012
8	"A"	"Endocrine"	0.012
8	"A"	"Mental and behavioural disorders"	0
8	"A"	"Nervous Disorders"	0.0843
8	"A"	"circulatory"	0.0602
8	"A"	"respiratory"	0.0602
8	"A"	"Digestive"	0.012
8	"A"	"Musculoskeletal Disorders"	0
8	"A"	"Genitourinary"	0
8	"A"	"perinatal period"	0
8	"A"	"Congenital malformations"	0.0602
8	"A"	"morbidity"	0.5422
8	"S"	"Infection"	0.0604
8	"S"	"Neoplasms"	0.2143
8	"S"	"Diseases of the blood and blood-forming organs"	0.0385
8	"S"	"Endocrine"	0.0385
8	"S"	"Mental and behavioural disorders"	0
8	"S"	"Nervous Disorders"	0.0989
8	"S"	"circulatory"	0.0824
8	"S"	"respiratory"	0.0604
8	"S"	"Digestive"	0.011
8	"S"	"Musculoskeletal Disorders"	0
8	"S"	"Genitourinary"	0.011
8	"S"	"perinatal period"	0
8	"S"	"Congenital malformations"	0.0824
8	"S"	"morbidity"	0.2747
8	"B"	"Infection"	0.0291
8	"B"	"Neoplasms"	0.1494
8	"B"	"Diseases of the blood and blood-forming organs"	0.0242
8	"B"	"Endocrine"	0.0175
8	"B"	"Mental and behavioural disorders"	0.0029
8	"B"	"Nervous Disorders"	0.0912
8	"B"	"circulatory"	0.065
8	"B"	"respiratory"	0.1038
8	"B"	"Digestive"	0.0175
8	"B"	"Musculoskeletal Disorders"	0.0029
8	"B"	"Genitourinary"	0.0048
8	"B"	"perinatal period"	0.0107
8	"B"	"Congenital malformations"	0.0679
8	"B"	"morbidity"	0.387
8	"W"	"Infection"	0.029
8	"W"	"Neoplasms"	0.2159
8	"W"	"Diseases of the blood and blood-forming organs"	0.0101
8	"W"	"Endocrine"	0.0425
8	"W"	"Mental and behavioural disorders"	0.0034
8	"W"	"Nervous Disorders"	0.0825
8	"W"	"circulatory"	0.0517
8	"W"	"respiratory"	0.0535
8	"W"	"Digestive"	0.0213
8	"W"	"Musculoskeletal Disorders"	0.0057
8	"W"	"Genitourinary"	0.0046
8	"W"	"perinatal period"	0.0052
8	"W"	"Congenital malformations"	0.0716
8	"W"	"morbidity"	0.3832
9	"A"	"Infection"	0.0465
9	"A"	"Neoplasms"	0.1279
9	"A"	"Diseases of the blood and blood-forming organs"	0
9	"A"	"Endocrine"	0.0465
9	"A"	"Mental and behavioural disorders"	0
9	"A"	"Nervous Disorders"	0.0698
9	"A"	"circulatory"	0
9	"A"	"respiratory"	0.0581
9	"A"	"Digestive"	0.0233
9	"A"	"Musculoskeletal Disorders"	0
9	"A"	"Genitourinary"	0
9	"A"	"perinatal period"	0
9	"A"	"Congenital malformations"	0.0814
9	"A"	"morbidity"	0.5233
9	"S"	"Infection"	0.0249
9	"S"	"Neoplasms"	0.2537
9	"S"	"Diseases of the blood and blood-forming organs"	0.0149
9	"S"	"Endocrine"	0
9	"S"	"Mental and behavioural disorders"	0.01
9	"S"	"Nervous Disorders"	0.1045
9	"S"	"circulatory"	0.0995
9	"S"	"respiratory"	0.0547
9	"S"	"Digestive"	0.0199
9	"S"	"Musculoskeletal Disorders"	0
9	"S"	"Genitourinary"	0.005
9	"S"	"perinatal period"	0.005
9	"S"	"Congenital malformations"	0.0746
9	"S"	"morbidity"	0.3184
9	"B"	"Infection"	0.0185
9	"B"	"Neoplasms"	0.1585
9	"B"	"Diseases of the blood and blood-forming organs"	0.0139
9	"B"	"Endocrine"	0.0222
9	"B"	"Mental and behavioural disorders"	0.0009
9	"B"	"Nervous Disorders"	0.0853
9	"B"	"circulatory"	0.0704
9	"B"	"respiratory"	0.1168
9	"B"	"Digestive"	0.0204
9	"B"	"Musculoskeletal Disorders"	0.0074
9	"B"	"Genitourinary"	0.0028
9	"B"	"perinatal period"	0.0074
9	"B"	"Congenital malformations"	0.05
9	"B"	"morbidity"	0.3985
9	"W"	"Infection"	0.0306
9	"W"	"Neoplasms"	0.2153
9	"W"	"Diseases of the blood and blood-forming organs"	0.0151
9	"W"	"Endocrine"	0.046
9	"W"	"Mental and behavioural disorders"	0.0039
9	"W"	"Nervous Disorders"	0.0823
9	"W"	"circulatory"	0.057
9	"W"	"respiratory"	0.0541
9	"W"	"Digestive"	0.0181
9	"W"	"Musculoskeletal Disorders"	0.0042
9	"W"	"Genitourinary"	0.0036
9	"W"	"perinatal period"	0.0068
9	"W"	"Congenital malformations"	0.06
9	"W"	"morbidity"	0.3843
10	"A"	"Infection"	0.0256
10	"A"	"Neoplasms"	0.1026
10	"A"	"Diseases of the blood and blood-forming organs"	0
10	"A"	"Endocrine"	0.0385
10	"A"	"Mental and behavioural disorders"	0
10	"A"	"Nervous Disorders"	0.0641
10	"A"	"circulatory"	0.0513
10	"A"	"respiratory"	0.0769
10	"A"	"Digestive"	0.0256
10	"A"	"Musculoskeletal Disorders"	0
10	"A"	"Genitourinary"	0.0128
10	"A"	"perinatal period"	0
10	"A"	"Congenital malformations"	0.0641
10	"A"	"morbidity"	0.5128
10	"S"	"Infection"	0.0311
10	"S"	"Neoplasms"	0.2073
10	"S"	"Diseases of the blood and blood-forming organs"	0.0466
10	"S"	"Endocrine"	0.0415
10	"S"	"Mental and behavioural disorders"	0.0052
10	"S"	"Nervous Disorders"	0.1036
10	"S"	"circulatory"	0.0881
10	"S"	"respiratory"	0.0311
10	"S"	"Digestive"	0.0415
10	"S"	"Musculoskeletal Disorders"	0.0104
10	"S"	"Genitourinary"	0
10	"S"	"perinatal period"	0.0104
10	"S"	"Congenital malformations"	0.0984
10	"S"	"morbidity"	0.2435
10	"B"	"Infection"	0.0229
10	"B"	"Neoplasms"	0.1364
10	"B"	"Diseases of the blood and blood-forming organs"	0.022
10	"B"	"Endocrine"	0.0229
10	"B"	"Mental and behavioural disorders"	0.0073
10	"B"	"Nervous Disorders"	0.0962
10	"B"	"circulatory"	0.0632
10	"B"	"respiratory"	0.1016
10	"B"	"Digestive"	0.0293
10	"B"	"Musculoskeletal Disorders"	0.0092
10	"B"	"Genitourinary"	0.0037
10	"B"	"perinatal period"	0.0064
10	"B"	"Congenital malformations"	0.0751
10	"B"	"morbidity"	0.3828
10	"W"	"Infection"	0.033
10	"W"	"Neoplasms"	0.2065
10	"W"	"Diseases of the blood and blood-forming organs"	0.0141
10	"W"	"Endocrine"	0.0468
10	"W"	"Mental and behavioural disorders"	0.0042
10	"W"	"Nervous Disorders"	0.0889
10	"W"	"circulatory"	0.0492
10	"W"	"respiratory"	0.0525
10	"W"	"Digestive"	0.0174
10	"W"	"Musculoskeletal Disorders"	0.0054
10	"W"	"Genitourinary"	0.0054
10	"W"	"perinatal period"	0.0048
10	"W"	"Congenital malformations"	0.069
10	"W"	"morbidity"	0.3789
11	"A"	"Infection"	0.0119
11	"A"	"Neoplasms"	0.0952
11	"A"	"Diseases of the blood and blood-forming organs"	0.0119
11	"A"	"Endocrine"	0.0119
11	"A"	"Mental and behavioural disorders"	0
11	"A"	"Nervous Disorders"	0.0833
11	"A"	"circulatory"	0.0476
11	"A"	"respiratory"	0.0833
11	"A"	"Digestive"	0.0238
11	"A"	"Musculoskeletal Disorders"	0.0119
11	"A"	"Genitourinary"	0.0119
11	"A"	"perinatal period"	0.0238
11	"A"	"Congenital malformations"	0.0476
11	"A"	"morbidity"	0.5119
11	"S"	"Infection"	0.0258
11	"S"	"Neoplasms"	0.2113
11	"S"	"Diseases of the blood and blood-forming organs"	0.0258
11	"S"	"Endocrine"	0.0309
11	"S"	"Mental and behavioural disorders"	0.0103
11	"S"	"Nervous Disorders"	0.0979
11	"S"	"circulatory"	0.0619
11	"S"	"respiratory"	0.0619
11	"S"	"Digestive"	0.0155
11	"S"	"Musculoskeletal Disorders"	0.0052
11	"S"	"Genitourinary"	0
11	"S"	"perinatal period"	0.0206
11	"S"	"Congenital malformations"	0.0619
11	"S"	"morbidity"	0.3454
11	"B"	"Infection"	0.0326
11	"B"	"Neoplasms"	0.1191
11	"B"	"Diseases of the blood and blood-forming organs"	0.0147
11	"B"	"Endocrine"	0.0302
11	"B"	"Mental and behavioural disorders"	0.0049
11	"B"	"Nervous Disorders"	0.0946
11	"B"	"circulatory"	0.0677
11	"B"	"respiratory"	0.1101
11	"B"	"Digestive"	0.0131
11	"B"	"Musculoskeletal Disorders"	0.009
11	"B"	"Genitourinary"	0.0057
11	"B"	"perinatal period"	0.0024
11	"B"	"Congenital malformations"	0.0498
11	"B"	"morbidity"	0.4233
11	"W"	"Infection"	0.0256
11	"W"	"Neoplasms"	0.2029
11	"W"	"Diseases of the blood and blood-forming organs"	0.0122
11	"W"	"Endocrine"	0.0427
11	"W"	"Mental and behavioural disorders"	0.0049
11	"W"	"Nervous Disorders"	0.0906
11	"W"	"circulatory"	0.0476
11	"W"	"respiratory"	0.0443
11	"W"	"Digestive"	0.0174
11	"W"	"Musculoskeletal Disorders"	0.0052
11	"W"	"Genitourinary"	0.0038
11	"W"	"perinatal period"	0.0046
11	"W"	"Congenital malformations"	0.0596
11	"W"	"morbidity"	0.4147
12	"A"	"Infection"	0.0396
12	"A"	"Neoplasms"	0.0792
12	"A"	"Diseases of the blood and blood-forming organs"	0.0198
12	"A"	"Endocrine"	0.0099
12	"A"	"Mental and behavioural disorders"	0
12	"A"	"Nervous Disorders"	0.0594
12	"A"	"circulatory"	0.0396
12	"A"	"respiratory"	0.0396
12	"A"	"Digestive"	0.0198
12	"A"	"Musculoskeletal Disorders"	0
